"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"PI16.1",3.61610192636377e-124,-1.52321241791629,0.001,0.473,7.49003192007729e-120,"1","PI16"
"PRSS23",1.3210345035872e-123,-0.865451276886421,0.114,0.591,2.73625876728016e-119,"1","PRSS23"
"SOCS3",1.94057746846495e-123,0.758121274877994,0.736,0.325,4.01951811043145e-119,"1","SOCS3"
"PCOLCE2.1",1.22749554176649e-121,-1.161776122603,0.023,0.49,2.54251151566093e-117,"1","PCOLCE2"
"EMP3",4.94826962314544e-121,-0.703701912588003,0.359,0.783,1.02493508704211e-116,"1","EMP3"
"SFRP1.1",9.5372615909201e-121,-1.09872060221816,0.004,0.466,1.97545299332728e-116,"1","SFRP1"
"DCN.1",1.05207614633268e-119,-2.99285405494237,0.3,0.646,2.17916532189889e-115,"1","DCN"
"APOD.1",7.83289427000195e-119,-2.99004172964553,0.006,0.463,1.6224273901455e-114,"1","APOD"
"TNXB.1",2.63645719864979e-118,-1.03672462175769,0.045,0.503,5.46089379556331e-114,"1","TNXB"
"AEBP1",5.24547868192298e-118,-0.923813276671048,0.534,0.829,1.08649599938671e-113,"1","AEBP1"
"CFD.1",4.23306076807934e-117,-3.61068676921486,0.083,0.528,8.76793876892275e-113,"1","CFD"
"GPNMB.1",7.49334800456901e-114,-0.837569965167428,0.194,0.623,1.55209717218638e-109,"1","GPNMB"
"SCARA5.1",7.52746917824631e-109,-0.728435766662638,0.001,0.428,1.55916469089016e-104,"1","SCARA5"
"ZFP36L2.1",7.92932658162612e-107,-0.777335417831094,0.395,0.775,1.64240141485222e-102,"1","ZFP36L2"
"ABCA8.1",3.50253038539188e-106,-0.73896225430518,0.035,0.462,7.2547911872622e-102,"1","ABCA8"
"GAS1.1",1.13162030829066e-105,-0.829862344052303,0.039,0.466,2.34392514456243e-101,"1","GAS1"
"CHRDL1.1",3.30654354292002e-101,-0.740779393023796,0.047,0.465,6.84884364045023e-97,"1","CHRDL1"
"PLA2G2A.1",2.77496740387613e-96,-1.98605115680507,0.014,0.408,5.74778998364862e-92,"1","PLA2G2A"
"SERPINF1.1",8.74862263375002e-95,-1.42849011013751,0.267,0.601,1.81210220612864e-90,"1","SERPINF1"
"PLAT.1",1.29619441420379e-92,-0.94628350393621,0.045,0.432,2.68480749014031e-88,"1","PLAT"
"LEPR.1",9.86576328916296e-92,-0.731728369149042,0.025,0.407,2.04349555008432e-87,"1","LEPR"
"MYH10.1",1.51751733829575e-88,-1.00252499759352,0.088,0.47,3.14323366281198e-84,"1","MYH10"
"DPT",7.73500945907698e-87,-0.861204553584598,0.033,0.408,1.60215250925861e-82,"1","DPT"
"RHOB",1.40281226789336e-86,0.898469979605114,0.803,0.57,2.90564505048752e-82,"1","RHOB"
"IGF1.1",1.3365317148952e-80,-0.876669375336982,0.007,0.348,2.76835814106242e-76,"1","IGF1"
"RARRES1.1",2.1812965071429e-78,-0.933547057739004,0.018,0.357,4.51811945524509e-74,"1","RARRES1"
"CXCL14.1",1.03368953456072e-64,-1.47802316981673,0.016,0.31,2.14108113293561e-60,"1","CXCL14"
"RGS5.1",1.19471028503225e-63,0.812406444567509,0.673,0.305,2.4746034133873e-59,"1","RGS5"
"HLA-DRB1",5.54664735493902e-60,-0.847327105871977,0.114,0.412,1.14887706662852e-55,"1","HLA-DRB1"
"COL3A1",9.87916935016493e-60,-0.764261408107424,0.245,0.551,2.04627234749966e-55,"1","COL3A1"
"FN1",3.46680741516186e-59,-0.975485528473095,0.361,0.657,7.18079819902477e-55,"1","FN1"
"NEAT1.1",4.73062067211908e-59,-0.707186920245026,0.57,0.801,9.79853459816025e-55,"1","NEAT1"
"CD74",2.20657296586106e-48,-0.737555348301119,0.18,0.458,4.57047458418801e-44,"1","CD74"
"BGN.1",1.14678514293774e-208,1.26446852843744,0.994,0.697,2.37533606656695e-204,"2","BGN"
"COL8A1.1",1.28860316620332e-203,1.166390899677,0.661,0.118,2.66908373815694e-199,"2","COL8A1"
"TGM2",4.95185364252872e-188,0.759056505365255,0.504,0.053,1.02567744497697e-183,"2","TGM2"
"SPINT2.1",1.10970878824589e-181,0.7256929282303,0.803,0.192,2.29853981309372e-177,"2","SPINT2"
"EDIL3",5.80549729398459e-167,0.77574203941433,0.792,0.264,1.20249265450303e-162,"2","EDIL3"
"MYH10.2",8.80819678737195e-157,0.949791981591976,0.797,0.251,1.82444180056835e-152,"2","MYH10"
"LTBP2",2.62019647504516e-156,0.796881355279035,0.646,0.163,5.42721295876105e-152,"2","LTBP2"
"IGFBP2.1",3.01051826609392e-147,0.912669708694506,0.82,0.259,6.23568648456033e-143,"2","IGFBP2"
"VCAN.1",7.40662347466129e-141,1.36535421900827,0.855,0.495,1.53413392030659e-136,"2","VCAN"
"FN1.1",3.7939881830178e-137,1.59629713242299,0.864,0.5,7.85848772348478e-133,"2","FN1"
"JUN",1.5476406855024e-133,-1.12140996744271,0.744,0.956,3.20562815188112e-129,"2","JUN"
"NR4A1",1.69022050116714e-125,-1.10258363883659,0.143,0.67,3.5009537240675e-121,"2","NR4A1"
"TIMP3.1",9.35302343021375e-121,-1.05114703860543,0.538,0.906,1.93729174310017e-116,"2","TIMP3"
"LTBP1",3.68382458335926e-117,0.727551272526032,0.86,0.468,7.63030585951203e-113,"2","LTBP1"
"BTG2",4.49301653028994e-117,-1.08877678900889,0.284,0.756,9.30638513918955e-113,"2","BTG2"
"NOV.1",1.59843049883339e-108,1.11622606442108,0.749,0.328,3.3108290922336e-104,"2","NOV"
"IER2",1.66520112979168e-107,-1.00644557085502,0.525,0.862,3.4491311001375e-103,"2","IER2"
"TXNIP.1",1.17211579272319e-106,-1.15165150486738,0.311,0.744,2.42780344146755e-102,"2","TXNIP"
"ACKR3.1",3.99268617375606e-105,-1.2846345827205,0.117,0.585,8.27005087170092e-101,"2","ACKR3"
"CFD.2",6.87771609748656e-105,-3.96489926504317,0.029,0.51,1.42458133527239e-100,"2","CFD"
"ITGA8.1",6.01978474774819e-101,0.749886663663017,0.687,0.272,1.24687801480108e-96,"2","ITGA8"
"IGFBP4.1",1.1762394666701e-99,-0.918746133321591,0.225,0.674,2.43634480731379e-95,"2","IGFBP4"
"ZFP36",7.27799108391831e-99,-0.968159712478659,0.676,0.932,1.507490293212e-94,"2","ZFP36"
"COL14A1",2.23418060624085e-97,0.78899407273449,0.908,0.692,4.62765828970668e-93,"2","COL14A1"
"POSTN",2.98971210556401e-94,0.750358002279955,0.248,0.02,6.19259068425473e-90,"2","POSTN"
"AEBP1.1",4.33444842836351e-93,0.903394990266023,0.908,0.707,8.97794302966934e-89,"2","AEBP1"
"ASPN",3.30143178869089e-89,0.963717403966117,0.59,0.22,6.83825566391544e-85,"2","ASPN"
"TNFRSF11B",2.00421324330061e-83,0.972629556970955,0.467,0.142,4.15132689084856e-79,"2","TNFRSF11B"
"PI16.2",8.68105703942555e-83,-1.41038353363936,0.02,0.433,1.79810734457621e-78,"2","PI16"
"FOSB",3.2578638856858e-81,-0.751677302593442,0.362,0.745,6.74801346642099e-77,"2","FOSB"
"EGR1",8.22895208165458e-80,-0.746116553655233,0.559,0.85,1.70446284467311e-75,"2","EGR1"
"C3.2",4.22843778003904e-77,-1.25459450443699,0.063,0.455,8.75836317379486e-73,"2","C3"
"CHRDL1.2",5.42011555898909e-77,-0.712869164439108,0.04,0.436,1.12266853573341e-72,"2","CHRDL1"
"APOD.2",4.17022662030971e-75,-2.85016430088687,0.039,0.42,8.63779039864751e-71,"2","APOD"
